SEASON,MONTH,YEAR,DATE_FROM,DATE_TO,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,AST_RATIO,REB_PCT
2018-19,December,2018,12/01/2018,12/31/2018,DAL,Dallas Mavericks,16,7,9,0.438,107.9,110.2,-2.2,101.62,16.2,0.514
2018-19,December,2018,12/01/2018,12/31/2018,DEN,Denver Nuggets,12,8,4,0.667,110.5,109.3,1.1,98.07,19.7,0.515
2018-19,December,2018,12/01/2018,12/31/2018,DET,Detroit Pistons,15,4,11,0.267,102.4,108.6,-6.2,99.94,16.4,0.51
2018-19,December,2018,12/01/2018,12/31/2018,GSW,Golden State Warriors,15,10,5,0.667,110.6,106.7,3.9,103.15,19.5,0.499
2018-19,December,2018,12/01/2018,12/31/2018,HOU,Houston Rockets,15,11,4,0.733,113.4,109.1,4.3,97.23,15.8,0.497
2018-19,December,2018,12/01/2018,12/31/2018,IND,Indiana Pacers,15,12,3,0.8,109.7,99.6,10.1,99.87,19.6,0.512
2018-19,December,2018,12/01/2018,12/31/2018,LAC,LA Clippers,15,6,9,0.4,109.9,114.4,-4.4,102.59,16.6,0.502
2018-19,December,2018,12/01/2018,12/31/2018,LAL,Los Angeles Lakers,15,8,7,0.533,110.0,106.7,3.2,104.17,18.0,0.511
2018-19,December,2018,12/01/2018,12/31/2018,MEM,Memphis Grizzlies,15,5,10,0.333,102.7,105.9,-3.2,95.17,17.4,0.46
2018-19,December,2018,12/01/2018,12/31/2018,MIA,Miami Heat,14,9,5,0.643,107.9,104.1,3.9,96.29,17.8,0.52
2018-19,December,2018,12/01/2018,12/31/2018,MIL,Milwaukee Bucks,14,10,4,0.714,108.4,102.1,6.3,101.71,17.5,0.509
2018-19,December,2018,12/01/2018,12/31/2018,MIN,Minnesota Timberwolves,15,6,9,0.4,111.6,111.7,0.0,100.47,18.3,0.497
2018-19,December,2018,12/01/2018,12/31/2018,NOP,New Orleans Pelicans,15,6,9,0.4,112.2,112.1,0.2,101.27,19.4,0.502
2018-19,December,2018,12/01/2018,12/31/2018,NYK,New York Knicks,14,2,12,0.143,104.8,116.1,-11.3,101.07,15.7,0.474
2018-19,December,2018,12/01/2018,12/31/2018,OKC,Oklahoma City Thunder,15,9,6,0.6,108.1,101.7,6.4,105.1,15.6,0.516
2018-19,December,2018,12/01/2018,12/31/2018,ORL,Orlando Magic,13,5,8,0.385,101.7,109.0,-7.3,95.92,16.1,0.503
2018-19,December,2018,12/01/2018,12/31/2018,PHI,Philadelphia 76ers,13,7,6,0.538,110.6,108.4,2.2,101.49,19.0,0.502
2018-19,December,2018,12/01/2018,12/31/2018,PHX,Phoenix Suns,16,5,11,0.313,104.9,112.4,-7.5,99.93,17.4,0.483
2018-19,December,2018,12/01/2018,12/31/2018,POR,Portland Trail Blazers,15,8,7,0.533,108.1,109.3,-1.1,99.45,16.1,0.521
2018-19,December,2018,12/01/2018,12/31/2018,SAC,Sacramento Kings,15,9,6,0.6,111.3,110.8,0.5,104.5,18.3,0.471
2018-19,December,2018,12/01/2018,12/31/2018,SAS,San Antonio Spurs,16,11,5,0.688,116.7,106.4,10.3,99.0,19.4,0.499
2018-19,December,2018,12/01/2018,12/31/2018,TOR,Toronto Raptors,15,8,7,0.533,106.7,106.0,0.7,98.12,16.1,0.494
2018-19,December,2018,12/01/2018,12/31/2018,UTA,Utah Jazz,14,7,7,0.5,109.3,100.6,8.7,100.71,19.1,0.531
2018-19,December,2018,12/01/2018,12/31/2018,WAS,Washington Wizards,15,6,9,0.4,109.6,112.1,-2.5,100.61,19.1,0.461
2018-19,January,2019,01/01/2019,01/31/2019,ATL,Atlanta Hawks,14,5,9,0.357,108.5,113.3,-4.8,103.71,17.5,0.515
2018-19,January,2019,01/01/2019,01/31/2019,BOS,Boston Celtics,15,11,4,0.733,114.5,104.8,9.7,99.9,19.6,0.503
2018-19,January,2019,01/01/2019,01/31/2019,BKN,Brooklyn Nets,15,11,4,0.733,110.7,106.9,3.8,103.18,16.4,0.518
2018-19,January,2019,01/01/2019,01/31/2019,CHA,Charlotte Hornets,14,6,8,0.429,106.7,114.0,-7.3,98.79,16.6,0.505
2018-19,January,2019,01/01/2019,01/31/2019,CHI,Chicago Bulls,15,2,13,0.133,104.7,115.1,-10.4,98.71,16.3,0.483
2018-19,January,2019,01/01/2019,01/31/2019,CLE,Cleveland Cavaliers,15,3,12,0.2,105.6,120.7,-15.2,98.0,16.3,0.476
2018-19,January,2019,01/01/2019,01/31/2019,DAL,Dallas Mavericks,15,6,9,0.4,108.8,108.0,0.8,97.33,16.7,0.509
2018-19,January,2019,01/01/2019,01/31/2019,DEN,Denver Nuggets,16,12,4,0.75,117.8,111.1,6.7,97.34,19.6,0.541
2018-19,January,2019,01/01/2019,01/31/2019,DET,Detroit Pistons,16,6,10,0.375,104.5,109.6,-5.2,95.97,16.8,0.497
2018-19,January,2019,01/01/2019,01/31/2019,GSW,Golden State Warriors,13,11,2,0.846,123.8,110.4,13.4,101.99,22.2,0.527
2018-19,January,2019,01/01/2019,01/31/2019,HOU,Houston Rockets,14,8,6,0.571,115.9,114.6,1.3,100.16,14.7,0.462
2018-19,January,2019,01/01/2019,01/31/2019,IND,Indiana Pacers,14,7,7,0.5,110.2,112.1,-1.9,98.8,19.3,0.499
2018-19,January,2019,01/01/2019,01/31/2019,LAC,LA Clippers,16,7,9,0.438,109.1,109.4,-0.3,100.97,17.6,0.49
2018-19,January,2019,01/01/2019,01/31/2019,LAL,Los Angeles Lakers,15,6,9,0.4,104.7,107.6,-2.9,103.05,17.2,0.506
2018-19,January,2019,01/01/2019,01/31/2019,MEM,Memphis Grizzlies,16,2,14,0.125,100.7,109.8,-9.1,96.68,18.3,0.487
2018-19,January,2019,01/01/2019,01/31/2019,MIA,Miami Heat,14,7,7,0.5,106.0,108.3,-2.3,96.14,18.9,0.51
2018-19,January,2019,01/01/2019,01/31/2019,MIL,Milwaukee Bucks,15,12,3,0.8,114.2,102.7,11.6,102.83,19.0,0.509
2018-19,January,2019,01/01/2019,01/31/2019,MIN,Minnesota Timberwolves,14,8,6,0.571,110.2,109.2,1.0,100.43,16.8,0.517
2018-19,January,2019,01/01/2019,01/31/2019,NOP,New Orleans Pelicans,14,6,8,0.429,114.5,111.0,3.5,102.43,18.8,0.5
2018-19,January,2019,01/01/2019,01/31/2019,NYK,New York Knicks,13,1,12,0.077,102.9,113.0,-10.1,99.5,14.9,0.444
2018-19,January,2019,01/01/2019,01/31/2019,OKC,Oklahoma City Thunder,14,9,5,0.643,113.4,112.2,1.1,104.14,17.4,0.49
2018-19,January,2019,01/01/2019,01/31/2019,ORL,Orlando Magic,16,5,11,0.313,107.6,109.7,-2.0,98.24,18.2,0.504
2018-19,January,2019,01/01/2019,01/31/2019,PHI,Philadelphia 76ers,15,11,4,0.733,115.7,108.7,7.0,103.07,20.3,0.536
2018-19,January,2019,01/01/2019,01/31/2019,PHX,Phoenix Suns,15,2,13,0.133,105.4,116.1,-10.7,102.3,16.8,0.45
2018-19,January,2019,01/01/2019,01/31/2019,POR,Portland Trail Blazers,15,11,4,0.733,117.0,108.1,8.8,99.97,18.7,0.526
2018-19,January,2019,01/01/2019,01/31/2019,SAC,Sacramento Kings,15,7,8,0.467,106.7,108.5,-1.8,101.46,18.7,0.488
2018-19,January,2019,01/01/2019,01/31/2019,SAS,San Antonio Spurs,15,10,5,0.667,114.6,111.7,2.9,99.32,18.6,0.511
2018-19,January,2019,01/01/2019,01/31/2019,TOR,Toronto Raptors,15,10,5,0.667,113.2,110.2,3.0,100.64,17.9,0.491
2018-19,January,2019,01/01/2019,01/31/2019,UTA,Utah Jazz,15,11,4,0.733,111.0,105.9,5.1,100.13,18.0,0.519
2018-19,January,2019,01/01/2019,01/31/2019,WAS,Washington Wizards,14,8,6,0.571,110.6,107.2,3.4,100.75,19.4,0.477
2018-19,February,2019,02/01/2019,02/28/2019,ATL,Atlanta Hawks,12,5,7,0.417,112.9,117.0,-4.1,101.58,17.4,0.507
2018-19,February,2019,02/01/2019,02/28/2019,BOS,Boston Celtics,11,5,6,0.455,110.1,111.8,-1.7,100.55,19.2,0.489
2018-19,February,2019,02/01/2019,02/28/2019,BKN,Brooklyn Nets,10,4,6,0.4,106.1,110.3,-4.2,103.22,18.1,0.48
2018-19,February,2019,02/01/2019,02/28/2019,CHA,Charlotte Hornets,11,4,7,0.364,111.2,115.1,-3.9,98.05,15.6,0.505
2018-19,February,2019,02/01/2019,02/28/2019,CHI,Chicago Bulls,10,5,5,0.5,116.3,116.3,0.0,99.75,18.3,0.509
2018-19,February,2019,02/01/2019,02/28/2019,CLE,Cleveland Cavaliers,10,4,6,0.4,108.7,112.9,-4.2,97.55,17.4,0.507
2018-19,February,2019,02/01/2019,02/28/2019,DAL,Dallas Mavericks,10,4,6,0.4,107.3,112.6,-5.3,98.5,17.3,0.48
2018-19,February,2019,02/01/2019,02/28/2019,DEN,Denver Nuggets,11,7,4,0.636,112.9,109.6,3.3,102.5,20.1,0.522
2018-19,February,2019,02/01/2019,02/28/2019,DET,Detroit Pistons,10,7,3,0.7,116.0,109.4,6.6,97.9,17.2,0.51
2018-19,February,2019,02/01/2019,02/28/2019,GSW,Golden State Warriors,11,7,4,0.636,115.2,111.0,4.3,102.05,20.0,0.49
2018-19,February,2019,02/01/2019,02/28/2019,HOU,Houston Rockets,12,8,4,0.667,118.1,112.3,5.8,100.17,16.0,0.482
2018-19,February,2019,02/01/2019,02/28/2019,IND,Indiana Pacers,12,9,3,0.75,113.7,104.4,9.3,97.88,19.9,0.491
2018-19,February,2019,02/01/2019,02/28/2019,LAC,LA Clippers,11,6,5,0.545,108.5,109.9,-1.4,103.55,17.0,0.491
2018-19,February,2019,02/01/2019,02/28/2019,LAL,Los Angeles Lakers,9,3,6,0.333,107.1,116.4,-9.3,105.17,19.5,0.487
2018-19,February,2019,02/01/2019,02/28/2019,MEM,Memphis Grizzlies,11,4,7,0.364,104.8,107.4,-2.6,98.64,17.0,0.49
2018-19,February,2019,02/01/2019,02/28/2019,MIA,Miami Heat,12,3,9,0.25,108.0,113.1,-5.1,99.0,17.9,0.515
2018-19,February,2019,02/01/2019,02/28/2019,MIL,Milwaukee Bucks,11,10,1,0.909,114.3,106.1,8.2,103.2,18.6,0.509
2018-19,February,2019,02/01/2019,02/28/2019,MIN,Minnesota Timberwolves,11,4,7,0.364,114.4,115.6,-1.1,100.91,17.6,0.512
2018-19,February,2019,02/01/2019,02/28/2019,NOP,New Orleans Pelicans,11,4,7,0.364,107.7,111.4,-3.6,104.32,18.7,0.51
2018-19,February,2019,02/01/2019,02/28/2019,NYK,New York Knicks,12,3,9,0.25,105.7,111.2,-5.5,99.17,15.6,0.506
2018-19,February,2019,02/01/2019,02/28/2019,OKC,Oklahoma City Thunder,11,6,5,0.545,113.4,110.2,3.3,105.23,17.1,0.5
2018-19,February,2019,02/01/2019,02/28/2019,ORL,Orlando Magic,11,8,3,0.727,111.9,100.1,11.9,101.14,19.5,0.512
2018-19,February,2019,02/01/2019,02/28/2019,PHI,Philadelphia 76ers,10,6,4,0.6,111.8,109.9,1.9,103.0,18.3,0.493
2018-19,February,2019,02/01/2019,02/28/2019,PHX,Phoenix Suns,9,1,8,0.111,105.5,117.0,-11.5,101.56,18.4,0.461
2018-19,February,2019,02/01/2019,02/28/2019,POR,Portland Trail Blazers,9,6,3,0.667,116.0,109.2,6.7,99.67,16.9,0.513
2018-19,February,2019,02/01/2019,02/28/2019,SAC,Sacramento Kings,10,5,5,0.5,108.7,108.5,0.2,106.09,16.3,0.495
2018-19,February,2019,02/01/2019,02/28/2019,SAS,San Antonio Spurs,10,3,7,0.3,108.7,118.1,-9.4,99.7,16.5,0.484
2018-19,February,2019,02/01/2019,02/28/2019,TOR,Toronto Raptors,9,8,1,0.889,114.5,106.1,8.5,102.5,19.6,0.52
2018-19,February,2019,02/01/2019,02/28/2019,UTA,Utah Jazz,9,6,3,0.667,113.6,107.3,6.3,102.24,18.3,0.542
2018-19,February,2019,02/01/2019,02/28/2019,WAS,Washington Wizards,10,3,7,0.3,113.9,118.8,-5.0,105.7,21.0,0.484
2018-19,March,2019,03/01/2019,03/31/2019,ATL,Atlanta Hawks,15,7,8,0.467,110.6,112.0,-1.5,104.67,18.3,0.492
2018-19,March,2019,03/01/2019,03/31/2019,BOS,Boston Celtics,15,8,7,0.533,111.6,111.7,-0.1,101.5,19.2,0.481
2018-19,March,2019,03/01/2019,03/31/2019,BKN,Brooklyn Nets,14,7,7,0.5,106.8,106.6,0.3,102.97,16.4,0.486
2018-19,March,2019,03/01/2019,03/31/2019,CHA,Charlotte Hornets,15,7,8,0.467,109.7,115.5,-5.8,98.62,17.2,0.481
2018-19,March,2019,03/01/2019,03/31/2019,CHI,Chicago Bulls,15,4,11,0.267,107.1,116.4,-9.3,99.93,15.6,0.498
2018-19,March,2019,03/01/2019,03/31/2019,CLE,Cleveland Cavaliers,15,4,11,0.267,110.1,117.4,-7.3,98.2,15.1,0.488
2018-19,March,2019,03/01/2019,03/31/2019,DAL,Dallas Mavericks,15,3,12,0.2,109.1,114.6,-5.5,97.95,17.8,0.479
2018-19,March,2019,03/01/2019,03/31/2019,DEN,Denver Nuggets,15,9,6,0.6,108.7,108.9,-0.3,97.0,19.1,0.517
2018-19,March,2019,03/01/2019,03/31/2019,DET,Detroit Pistons,16,10,6,0.625,113.9,109.7,4.2,95.53,17.7,0.509
2018-19,March,2019,03/01/2019,03/31/2019,GSW,Golden State Warriors,14,9,5,0.643,112.9,107.3,5.6,100.57,21.1,0.497
2018-19,March,2019,03/01/2019,03/31/2019,HOU,Houston Rockets,15,12,3,0.8,113.0,103.9,9.1,97.42,16.1,0.476
2018-19,March,2019,03/01/2019,03/31/2019,IND,Indiana Pacers,14,4,10,0.286,106.6,109.5,-2.9,98.04,18.4,0.493
2018-19,March,2019,03/01/2019,03/31/2019,LAC,LA Clippers,15,13,2,0.867,116.5,108.8,7.7,103.0,18.2,0.519
2018-19,March,2019,03/01/2019,03/31/2019,LAL,Los Angeles Lakers,16,5,11,0.313,108.5,110.8,-2.3,102.63,18.6,0.485
2018-19,March,2019,03/01/2019,03/31/2019,MEM,Memphis Grizzlies,14,7,7,0.5,110.0,110.6,-0.6,99.87,18.3,0.505
2018-19,March,2019,03/01/2019,03/31/2019,MIA,Miami Heat,15,11,4,0.733,108.1,104.1,4.0,97.17,18.5,0.503
2018-19,March,2019,03/01/2019,03/31/2019,MIL,Milwaukee Bucks,16,10,6,0.625,114.2,106.1,8.1,103.7,17.7,0.521
2018-19,March,2019,03/01/2019,03/31/2019,MIN,Minnesota Timberwolves,14,5,9,0.357,111.0,117.3,-6.2,100.68,17.3,0.495
2018-19,March,2019,03/01/2019,03/31/2019,NOP,New Orleans Pelicans,15,5,10,0.333,104.9,113.1,-8.2,106.82,18.2,0.496
2018-19,March,2019,03/01/2019,03/31/2019,NYK,New York Knicks,14,1,13,0.071,100.0,114.5,-14.5,100.11,14.9,0.5
2018-19,March,2019,03/01/2019,03/31/2019,OKC,Oklahoma City Thunder,16,6,10,0.375,105.1,108.1,-3.1,100.75,14.7,0.499
2018-19,March,2019,03/01/2019,03/31/2019,ORL,Orlando Magic,14,9,5,0.643,110.6,107.1,3.4,97.31,19.0,0.512
2018-19,March,2019,03/01/2019,03/31/2019,PHI,Philadelphia 76ers,14,9,5,0.643,112.2,109.7,2.6,101.71,17.7,0.532
2018-19,March,2019,03/01/2019,03/31/2019,PHX,Phoenix Suns,15,5,10,0.333,107.2,112.7,-5.5,102.55,16.8,0.463
2018-19,March,2019,03/01/2019,03/31/2019,POR,Portland Trail Blazers,15,10,5,0.667,115.4,110.1,5.3,99.95,16.7,0.536
2018-19,March,2019,03/01/2019,03/31/2019,SAC,Sacramento Kings,16,7,9,0.438,111.8,110.8,1.0,102.13,18.0,0.503
2018-19,March,2019,03/01/2019,03/31/2019,SAS,San Antonio Spurs,14,10,4,0.714,112.2,107.3,4.9,98.16,18.6,0.504
2018-19,March,2019,03/01/2019,03/31/2019,TOR,Toronto Raptors,15,9,6,0.6,112.4,105.2,7.2,100.67,19.5,0.493
2018-19,March,2019,03/01/2019,03/31/2019,UTA,Utah Jazz,15,11,4,0.733,114.2,103.1,11.1,101.1,20.0,0.531
2018-19,March,2019,03/01/2019,03/31/2019,WAS,Washington Wizards,17,7,10,0.412,112.1,113.4,-1.3,101.23,17.8,0.503
2018-19,April,2019,04/01/2019,04/30/2019,ATL,Atlanta Hawks,5,1,4,0.2,111.8,119.7,-7.9,106.5,17.6,0.476
2018-19,April,2019,04/01/2019,04/30/2019,BOS,Boston Celtics,5,4,1,0.8,111.5,105.4,6.1,100.8,19.0,0.483
2018-19,April,2019,04/01/2019,04/30/2019,BKN,Brooklyn Nets,5,3,2,0.6,110.7,107.6,3.1,104.8,16.3,0.542
2018-19,April,2019,04/01/2019,04/30/2019,CHA,Charlotte Hornets,6,4,2,0.667,117.3,111.9,5.4,95.5,18.2,0.479
2018-19,April,2019,04/01/2019,04/30/2019,CHI,Chicago Bulls,5,1,4,0.2,104.3,114.9,-10.6,98.1,15.2,0.481
2018-19,April,2019,04/01/2019,04/30/2019,CLE,Cleveland Cavaliers,5,0,5,0.0,106.1,122.7,-16.5,97.3,14.8,0.529
2018-19,April,2019,04/01/2019,04/30/2019,DAL,Dallas Mavericks,6,3,3,0.5,110.7,109.2,1.4,101.32,19.4,0.514
2018-19,April,2019,04/01/2019,04/30/2019,DEN,Denver Nuggets,6,3,3,0.5,110.0,108.1,1.9,98.42,19.4,0.482
2018-19,April,2019,04/01/2019,04/30/2019,DET,Detroit Pistons,6,2,4,0.333,105.6,109.4,-3.8,95.75,15.6,0.491
2018-19,April,2019,04/01/2019,04/30/2019,GSW,Golden State Warriors,6,5,1,0.833,113.7,103.7,10.0,103.42,21.4,0.494
2018-19,April,2019,04/01/2019,04/30/2019,HOU,Houston Rockets,5,4,1,0.8,126.0,103.9,22.0,102.1,18.6,0.49
