Player,Current Team,Opponent Team,Stat Type,Prop Line,Higher Payout,Lower Payout
Jimmy Butler,GSW,HOU,points,19.5,1,1
Jimmy Butler,GSW,HOU,pts_rebs_asts,30.5,1,1
Jimmy Butler,GSW,HOU,period_1_pts_rebs_asts,8.5,1,1
Jimmy Butler,GSW,HOU,rebounds,5.5,1,1
Draymond Green,GSW,HOU,points,7.5,1,1
Draymond Green,GSW,HOU,pts_rebs_asts,18.5,1,1
Draymond Green,GSW,HOU,period_1_points,1.5,1,1
Draymond Green,GSW,HOU,assists,4.5,1,1
Buddy Hield,GSW,HOU,points,13.5,1,1
Buddy Hield,GSW,HOU,pts_rebs_asts,17.5,1,1
Buddy Hield,GSW,HOU,period_1_points,3.5,1,1
Buddy Hield,GSW,HOU,assists,1.5,1,1
Gary Payton II,GSW,HOU,points,4.5,1,1
Gary Payton II,GSW,HOU,pts_rebs_asts,8.5,1,1
Gary Payton II,GSW,HOU,rebounds,1.5,1,1
Gary Payton II,GSW,HOU,assists,0.5,1,1
Moses Moody,GSW,HOU,points,12.5,1,1
Moses Moody,GSW,HOU,pts_rebs_asts,16.5,1,1
Moses Moody,GSW,HOU,assists,1.5,1,1
Moses Moody,GSW,HOU,rebounds,3.5,1,1
Shai Gilgeous-Alexander,OKC,MIN,points,31.5,1,1
Shai Gilgeous-Alexander,OKC,MIN,pts_rebs_asts,41.5,1,1
Shai Gilgeous-Alexander,OKC,MIN,rebounds,4.5,1,1
Shai Gilgeous-Alexander,OKC,MIN,period_1_pts_rebs_asts,14.5,1,1
Chet Holmgren,OKC,MIN,points,13.5,1,1
Chet Holmgren,OKC,MIN,pts_rebs_asts,23.0,1,1
Chet Holmgren,OKC,MIN,rebounds,6.5,1,1
Chet Holmgren,OKC,MIN,assists,1.5,1,1
Jalen Williams,OKC,MIN,points,18.5,1,1
Jalen Williams,OKC,MIN,pts_rebs_asts,28.5,1,1
Jalen Williams,OKC,MIN,period_1_points,3.5,1,1
Jalen Williams,OKC,MIN,rebounds,4.5,1,1
Jaylin Williams,OKC,MIN,points,4.5,1,1
Jaylin Williams,OKC,MIN,pts_rebs_asts,11.5,1,1
Jaylin Williams,OKC,MIN,assists,1.5,1,1
Jaylin Williams,OKC,MIN,rebounds,4.5,1,1
Isaiah Joe,OKC,MIN,points,9.5,1,1
Isaiah Joe,OKC,MIN,pts_rebs_asts,12.5,1,1
Isaiah Joe,OKC,MIN,rebounds,2.5,1,1
Isaiah Joe,OKC,MIN,assists,1.5,1,1
Kenrich Williams,OKC,MIN,points,5.5,1,1
Kenrich Williams,OKC,MIN,pts_rebs_asts,10.5,1,1
Kenrich Williams,OKC,MIN,rebounds,3.5,1,1
Kenrich Williams,OKC,MIN,assists,1.5,1,1
Lu Dort,OKC,MIN,points,8.5,1,1
Lu Dort,OKC,MIN,pts_rebs_asts,12.5,1,1
Lu Dort,OKC,MIN,period_1_points,2.5,1,1
Lu Dort,OKC,MIN,rebounds,3.5,1,1
Aaron Wiggins,OKC,MIN,points,10.5,1,1
Aaron Wiggins,OKC,MIN,pts_rebs_asts,16.5,1,1
Aaron Wiggins,OKC,MIN,rebounds,3.5,1,1
Aaron Wiggins,OKC,MIN,assists,1.5,1,1
Isaiah Hartenstein,OKC,MIN,points,8.5,1,1
Isaiah Hartenstein,OKC,MIN,pts_rebs_asts,22.5,1,1
Isaiah Hartenstein,OKC,MIN,assists,2.5,1,1
Isaiah Hartenstein,OKC,MIN,rebounds,10.5,1,1
Kyrie Irving,DAL,MIA,points,27.5,1,1
Kyrie Irving,DAL,MIA,pts_rebs_asts,38.5,1,1
Kyrie Irving,DAL,MIA,period_1_points,6.5,1,1
Kyrie Irving,DAL,MIA,assists,4.5,1,1
Klay Thompson,DAL,MIA,points,16.5,1,1
Klay Thompson,DAL,MIA,pts_rebs_asts,23.5,1,1
Klay Thompson,DAL,MIA,rebounds,4.5,1,1
Klay Thompson,DAL,MIA,period_1_points,3.5,1,1
Max Christie,DAL,MIA,points,14.5,1,1
Max Christie,DAL,MIA,pts_rebs_asts,23.5,1,1
Max Christie,DAL,MIA,period_1_points,3.5,1,1
Max Christie,DAL,MIA,assists,2.5,1,1
Naji Marshall,DAL,MIA,points,13.5,1,1
Naji Marshall,DAL,MIA,pts_rebs_asts,22.0,1,1
Naji Marshall,DAL,MIA,rebounds,5.5,1,1
Naji Marshall,DAL,MIA,assists,2.5,1,1
Olivier-Maxence Prosper,DAL,MIA,points,9.5,1,1
Olivier-Maxence Prosper,DAL,MIA,pts_rebs_asts,19.5,1,1
Olivier-Maxence Prosper,DAL,MIA,assists,2.5,1,1
Olivier-Maxence Prosper,DAL,MIA,period_1_points,2.5,1,1
Lauri Markkanen,UTA,LAC,points,19.5,1,1
Lauri Markkanen,UTA,LAC,pts_rebs_asts,25.5,1,1
Lauri Markkanen,UTA,LAC,period_1_pts_rebs_asts,7.5,1,1
Lauri Markkanen,UTA,LAC,period_1_points,5.5,1,1
John Collins,UTA,LAC,points,17.5,1,1
John Collins,UTA,LAC,pts_rebs_asts,26.5,1,1
John Collins,UTA,LAC,period_1_points,3.5,1,1
John Collins,UTA,LAC,period_1_pts_rebs_asts,6.5,1,1
Svi Mykhailiuk,UTA,LAC,points,10.5,1,1
Svi Mykhailiuk,UTA,LAC,pts_rebs_asts,15.5,1,1
Svi Mykhailiuk,UTA,LAC,period_1_points,2.5,1,1
Svi Mykhailiuk,UTA,LAC,assists,2.5,1,1
Keyonte George,UTA,LAC,points,17.5,1,1
Keyonte George,UTA,LAC,pts_rebs_asts,26.5,1,1
Keyonte George,UTA,LAC,rebounds,3.5,1,1
Keyonte George,UTA,LAC,assists,5.5,1,1
Walker Kessler,UTA,LAC,points,11.5,1,1
Walker Kessler,UTA,LAC,pts_rebs_asts,24.5,1,1
Walker Kessler,UTA,LAC,period_1_points,2.5,1,1
Walker Kessler,UTA,LAC,assists,1.5,1,1
Johnny Juzang,UTA,LAC,points,8.5,1,1
Johnny Juzang,UTA,LAC,pts_rebs_asts,11.5,1,1
Johnny Juzang,UTA,LAC,assists,0.5,1,1
Johnny Juzang,UTA,LAC,rebounds,2.5,1,1
Isaiah Collier,UTA,LAC,points,10.5,1,1
Isaiah Collier,UTA,LAC,pts_rebs_asts,23.5,1,1
Isaiah Collier,UTA,LAC,period_1_points,2.5,1,1
Isaiah Collier,UTA,LAC,rebounds,3.5,1,1
